2026-09-08 10:46:19 | INFO | movieclaw_api.access | method=POST path=/api/v1/playback/progress status_code=200 duration_ms=13.47 message=request completed
2026-09-08 10:46:20 | INFO | movieclaw_api.access | method=GET path=/api/v1/playback/files/1/trickplay status_code=200 duration_ms=4.95 message=request completed
2026-09-08 10:46:22 | INFO | movieclaw_api.access | method=POST path=/api/v1/playback/progress status_code=200 duration_ms=17.67 message=request completed
2026-09-08 10:46:24 | INFO | movieclaw_api.access | method=POST path=/api/v1/playback/progress status_code=200 duration_ms=15.86 message=request completed
2026-09-08 10:46:24 | INFO | movieclaw_api.access | method=POST path=/api/v1/playback/progress status_code=200 duration_ms=15.24 message=request completed
2026-09-08 10:46:24 | INFO | movieclaw_api.access | method=POST path=/api/v1/playback/progress status_code=200 duration_ms=11.40 message=request completed
2026-09-08 10:46:24 | INFO | movieclaw_api.access | method=POST path=/api/v1/playback/progress status_code=200 duration_ms=11.29 message=request completed
2026-09-08 10:46:25 | INFO | movieclaw_api.access | method=POST path=/api/v1/playback/progress status_code=200 duration_ms=12.75 message=request completed
2026-09-08 10:46:25 | INFO | movieclaw_api.access | method=POST path=/api/v1/playback/progress status_code=200 duration_ms=11.02 message=request completed
2026-09-08 10:46:25 | INFO | movieclaw_api.access | method=POST path=/api/v1/playback/progress status_code=200 duration_ms=13.84 message=request completed
2026-09-08 10:46:27 | INFO | movieclaw_api.access | method=POST path=/api/v1/playback/progress status_code=200 duration_ms=15.46 message=request completed
2026-09-08 10:46:52 | INFO | movieclaw_api.access | method=GET path=/api/v1/appearance status_code=200 duration_ms=1.55 message=request completed
2026-09-08 10:46:52 | INFO | movieclaw_api.access | method=GET path=/api/v1/auth/bootstrap status_code=200 duration_ms=2.85 message=request completed
2026-09-08 10:46:53 | WARNING | movieclaw_api.access | method=GET path=/api/v1/auth/me status_code=401 duration_ms=0.88 message=request completed
2026-09-08 10:46:53 | INFO | movieclaw_api.auth | 管理员 admin 登录成功
2026-09-08 10:46:53 | INFO | movieclaw_api.access | method=POST path=/api/v1/auth/login status_code=200 duration_ms=68.09 message=request completed
2026-09-08 10:46:55 | INFO | movieclaw_api.access | method=GET path=/api/v1/auth/bootstrap status_code=200 duration_ms=3.11 message=request completed
2026-09-08 10:46:55 | INFO | movieclaw_api.access | method=GET path=/api/v1/auth/bootstrap status_code=200 duration_ms=3.22 message=request completed
2026-09-08 10:46:55 | INFO | movieclaw_api.access | method=GET path=/api/v1/auth/me status_code=200 duration_ms=1.03 message=request completed
2026-09-08 10:46:55 | INFO | movieclaw_api.access | method=GET path=/api/v1/playback/items/1 status_code=200 duration_ms=8.79 message=request completed
2026-09-08 10:46:55 | INFO | movieclaw_api.access | method=GET path=/api/v1/playback/items/1 status_code=200 duration_ms=5.50 message=request completed
2026-09-08 10:46:55 | INFO | movieclaw_api.playback | 播放会话就绪：档 0 直出 · 决策 5 毫秒（file_id=1）
2026-09-08 10:46:55 | INFO | movieclaw_api.access | method=POST path=/api/v1/playback/sessions status_code=200 duration_ms=9.72 message=request completed
2026-09-08 10:46:55 | INFO | movieclaw_api.access | method=GET path=/api/v1/playback/files/1/stream status_code=206 duration_ms=4.49 message=request completed
2026-09-08 10:46:56 | INFO | movieclaw_api.access | method=GET path=/api/v1/playback/files/1/stream status_code=206 duration_ms=4.81 message=request completed
2026-09-08 10:46:56 | INFO | movieclaw_api.access | method=POST path=/api/v1/playback/progress status_code=200 duration_ms=12.37 message=request completed
2026-09-08 10:46:56 | INFO | movieclaw_api.access | method=GET path=/api/v1/playback/files/1/trickplay status_code=200 duration_ms=4.38 message=request completed
